"Time","Observations","Pruning"
14.6366131305695,10,"  10 nodes"
14.9521329402924,10,"  10 nodes"
15.7750070095062,10,"  10 nodes"
16.1941092014313,10,"  10 nodes"
15.2535538673401,10,"  10 nodes"
14.3715770244598,10,"  10 nodes"
15.7162308692932,10,"  10 nodes"
15.8439831733704,10,"  10 nodes"
15.7166209220886,10,"  10 nodes"
14.664792060852,10,"  10 nodes"
16.0193679332733,10,"  10 nodes"
14.7072460651398,10,"  10 nodes"
16.0236279964447,10,"  10 nodes"
14.8000979423523,10,"  10 nodes"
15.4919278621674,10,"  10 nodes"
16.9209129810333,30,"  10 nodes"
16.7186148166656,30,"  10 nodes"
18.6903278827667,30,"  10 nodes"
19.0144059658051,30,"  10 nodes"
17.1849088668823,30,"  10 nodes"
19.9843099117279,30,"  10 nodes"
19.8576791286469,30,"  10 nodes"
17.3709621429443,30,"  10 nodes"
18.3131020069122,30,"  10 nodes"
18.6358509063721,30,"  10 nodes"
18.1486020088196,30,"  10 nodes"
17.610817193985,30,"  10 nodes"
17.7332689762115,30,"  10 nodes"
17.3310618400574,30,"  10 nodes"
19.0163831710815,30,"  10 nodes"
17.8456828594208,30,"  10 nodes"
19.4154829978943,30,"  10 nodes"
18.4168860912323,30,"  10 nodes"
18.4431300163269,30,"  10 nodes"
19.443822145462,30,"  10 nodes"
23.7083048820496,50,"  10 nodes"
22.8129210472107,50,"  10 nodes"
21.0652050971985,50,"  10 nodes"
22.5799989700317,50,"  10 nodes"
23.2128300666809,50,"  10 nodes"
21.6620669364929,50,"  10 nodes"
19.2568161487579,50,"  10 nodes"
20.9506330490112,50,"  10 nodes"
18.99991106987,50,"  10 nodes"
22.6580131053925,50,"  10 nodes"
19.5362710952759,50,"  10 nodes"
20.270033121109,50,"  10 nodes"
18.6488449573517,50,"  10 nodes"
20.7485690116882,50,"  10 nodes"
21.5151739120483,50,"  10 nodes"
24.5313429832458,50,"  10 nodes"
19.4512369632721,50,"  10 nodes"
20.8672170639038,50,"  10 nodes"
20.4620859622955,50,"  10 nodes"
21.5736179351807,50,"  10 nodes"
42.9226059913635,10,"100 nodes"
34.9115908145905,10,"100 nodes"
43.474760055542,10,"100 nodes"
43.6998569965363,10,"100 nodes"
41.0225560665131,10,"100 nodes"
33.1893579959869,10,"100 nodes"
35.6270480155945,10,"100 nodes"
50.6353399753571,10,"100 nodes"
39.3003730773926,10,"100 nodes"
44.5274548530579,10,"100 nodes"
34.7555570602417,10,"100 nodes"
42.882404088974,10,"100 nodes"
34.6452012062073,10,"100 nodes"
41.8408019542694,10,"100 nodes"
31.2047200202942,10,"100 nodes"
48.2044069766998,10,"100 nodes"
