"Score","Observations","Pruning"
0.333057376744024,30,"  95% mass"
0.35713105329877,30,"  95% mass"
0.240646165046802,30,"  95% mass"
0.30776231305808,30,"  95% mass"
0.181291681094114,30,"  95% mass"
0.20972770436415,30,"  95% mass"
0.34919712095547,30,"  95% mass"
0.551700223333012,30,"  95% mass"
0.230794534367802,30,"  95% mass"
0.277725628168481,30,"  95% mass"
0.259283515050849,30,"  95% mass"
0.477026490778442,30,"  95% mass"
0.311106893059658,30,"  95% mass"
0.21818750294826,30,"  95% mass"
0.250438633717256,30,"  95% mass"
0.170687044546187,30,"  95% mass"
0.243770631350006,30,"  95% mass"
0.24149055764285,30,"  95% mass"
0.185627383879212,30,"  95% mass"
0.161224932348958,50,"  95% mass"
0.134394753850108,50,"  95% mass"
0.179830842028066,50,"  95% mass"
0.335600426073104,50,"  95% mass"
0.16479545459228,50,"  95% mass"
0.159747148649006,50,"  95% mass"
0.471863568140476,50,"  95% mass"
0.302299515546052,50,"  95% mass"
0.248226761234311,50,"  95% mass"
0.174628061614882,50,"  95% mass"
0.43347417463945,50,"  95% mass"
0.279880387379832,50,"  95% mass"
0.216139046662842,50,"  95% mass"
0.218722008139902,50,"  95% mass"
0.211851031486799,50,"  95% mass"
0.150065362701935,50,"  95% mass"
0.535862018611258,50,"  95% mass"
0.157908078488467,50,"  95% mass"
0.185526532030146,50,"  95% mass"
0.188968036972085,50,"  95% mass"
0.362094121902149,10,"100% mass"
0.429621412399277,10,"100% mass"
0.307144881073225,10,"100% mass"
0.30291114984776,10,"100% mass"
0.403820791002883,10,"100% mass"
0.70257671255225,10,"100% mass"
0.450004123328385,10,"100% mass"
0.259409871347243,10,"100% mass"
0.350160823884793,10,"100% mass"
0.297557770559254,10,"100% mass"
0.555549220602267,10,"100% mass"
0.764366492284601,10,"100% mass"
0.485122959408051,10,"100% mass"
0.358894699526333,10,"100% mass"
0.746354685306527,10,"100% mass"
0.347948369834813,10,"100% mass"
0.443915031210059,10,"100% mass"
0.433028536458552,10,"100% mass"
0.376175713171897,10,"100% mass"
0.280942169420299,10,"100% mass"
0.316305881385854,30,"100% mass"
0.333003140132531,30,"100% mass"
0.360609708006302,30,"100% mass"
0.241533088231657,30,"100% mass"
0.309642047228809,30,"100% mass"
